Fecha;Banco;Cuenta;Moneda;Monto;TipoMovimiento
22/3/24;Banco Macro;Caja de Ahorro 001;EUR;-2113,12;Egreso
19/4/24;Banco BBVA;Cuenta Corriente 123;EUR;-1503,81;Egreso
8/8/24;Banco Naci—n;Caja de Ahorro 456;USD;-2281,75;Egreso
7/12/24;Banco BBVA;Caja de Ahorro 001;EUR;3804,1;Ingreso
12/1/24;Banco Macro;Caja de Ahorro 456;ARS;-1097,63;Egreso
1/12/24;Banco BBVA;Caja de Ahorro 456;USD;-927,02;Egreso
18/9/24;Banco BBVA;Caja de Ahorro 001;USD;1364,63;Ingreso
30/7/24;Banco Santander;Cuenta Corriente 789;USD;761,25;Ingreso
1/10/24;Banco de Galicia;Caja de Ahorro 001;ARS;4781,52;Ingreso
13/10/24;Banco Macro;Caja de Ahorro 456;USD;-830,13;Egreso
6/4/24;Banco Santander;Cuenta Corriente 123;ARS;-235,93;Egreso
29/1/24;Banco Macro;Caja de Ahorro 456;ARS;-1807,39;Egreso
10/11/24;Banco de Galicia;Cuenta Corriente 789;USD;-1357,25;Egreso
16/9/24;Banco Naci—n;Cuenta Corriente 789;ARS;-836,98;Egreso
15/4/24;Banco BBVA;Cuenta Corriente 789;ARS;1940,76;Ingreso
1/2/24;Banco de Galicia;Cuenta Corriente 789;ARS;4041,41;Ingreso
20/2/24;Banco BBVA;Cuenta Corriente 789;ARS;1733,12;Ingreso
20/4/24;Banco Naci—n;Caja de Ahorro 001;USD;-344;Egreso
17/10/24;Banco BBVA;Cuenta Corriente 789;ARS;4988,76;Ingreso
27/10/24;Banco BBVA;Cuenta Corriente 789;USD;-282,68;Egreso
11/12/24;Banco BBVA;Caja de Ahorro 456;USD;-829,7;Egreso
3/1/24;Banco BBVA;Cuenta Corriente 789;USD;179,78;Ingreso
12/8/24;Banco Naci—n;Cuenta Corriente 789;ARS;-483,8;Egreso
2/2/24;Banco de Galicia;Cuenta Corriente 123;ARS;3071,18;Ingreso
16/4/24;Banco Galicia;Caja de Ahorro 456;EUR;4362,28;Ingreso
5/2/24;Banco Naci—n;Cuenta Corriente 789;ARS;-751,98;Egreso
28/9/24;Banco Santander;Caja de Ahorro 001;USD;322,48;Ingreso
